English,Portuguese
"Yes , of course . I need your student ID please .","Sim, claro. Preciso da sua identificação de estudante, por favor."
Here you are .,Aqui está.
"Okay , Susan . It says here that you are a business major and you are in your second year . Is this information correct ?","Está bem, Susan. Diz aqui que você é um maior de negócios e você está no seu segundo ano. Esta informação está correcta?"
Yes . I do want to take some additional credits this year to get a minor in psychology .,Sim. Eu quero tomar alguns créditos adicionais este ano para obter um menor em psicologia.
Sure . That ' s not a problem . Do you have the list of courses you want to taketh semester ?,Claro que sim. Isso não é um problema. Você tem a lista de cursos que você quer fazer o semestre?
Yeah . Here ' s my list . I ' m not sure if the class schedule will allow me to take all of them though .,Sim. Aqui está a minha lista. Não tenho a certeza se o horário das aulas me permitirá levá-los todos.
"Yeah , that ' s perfect . What about the subjects for your minor ?","Sim, isso é perfeito. E quanto aos assuntos para o seu menor?"
"Oh yeah ! Almost forgot ! I need to take fundamental linguistics , consumer psychology and neuroanatomy .","Sim! Quase me esqueci! Eu preciso tomar linguística fundamental, psicologia do consumidor e neuroanatomia."
"Wow , you are going to be busy this semester ! Okay , here you go . You are registered now . you ' ll have to make your first tuition payment before classes start .","Uau, você vai estar ocupado este semestre! Está bem, aqui tens. Você está registado agora. Terá de efectuar o seu primeiro pagamento de matrícula antes do início das aulas."
Is your city a historical place ?,A sua cidade é um lugar histórico?
"Not rally . 200 years ago , it was just a small insignificant village .","Não é um rali. Há 200 anos, era apenas uma pequena aldeia insignificante."
How did it grow into such a large place ?,Como é que se tornou um lugar tão grande?
Large deposits of coal were found nearly and so many industries located themselves here . The village quickly grew into a key industrial centre .,Grandes depósitos de carvão foram encontrados quase e muitas indústrias localizadas aqui. A aldeia rapidamente se tornou um centro industrial-chave.
"As the city grew , it must have absorbed many village nearby .","À medida que a cidade cresceu, ela deve ter absorvido muitas aldeias próximas."
"Yes , it did . The names of those village survive as the names of parts of the city .","Sim, foi. Os nomes dessas aldeias sobrevivem como os nomes de partes da cidade."
I see . Are there any building more than 200 years old in your city ?,Estou a ver. Há algum edifício com mais de 200 anos de idade na sua cidade?
"Oh , yes . Several of the buildings from the villages still survive . Many of them were inns for travelers and today survive as pubs . There was a castle near one village , so our city has a castle too .","Sim. Vários dos edifícios das aldeias ainda sobrevivem. Muitos deles eram pousadas para viajantes e hoje sobrevivem como pubs. Havia um castelo perto de uma aldeia, então nossa cidade tem um castelo também."
Really ? So your city does have some old history after all .,A sério? Então a sua cidade tem uma história antiga afinal de contas.
"Most of our customers are foreigners . How many foreign languages can you speak , Elizabeth ?","A maioria dos nossos clientes são estrangeiros. Quantas línguas estrangeiras pode falar, Elizabeth?"
Two . French and Spanish .,Dois. Francês e Espanhol.
And how well can you speak them ?,E quão bem pode falar com eles?
"Well , French was my best subject at school . I can read and write it pretty well .","Bem, o francês foi a minha melhor matéria na escola. Eu sei ler e escrevê-lo muito bem."
And how about your Spanish ?,E o teu espanhol?
"Well , it's not as good as my French . I can speak it reasonably well , but my written Spanish isn't very good .","Bem, não é tão bom como o meu francês. Eu posso falar razoavelmente bem, mas meu espanhol escrito não é muito bom."
"I see . Well , we have a lot of Spanish customers , but you wouldn't need to write any Spanish here .","Estou a ver. Bem, nós temos um monte de clientes espanhóis, mas você não precisa escrever qualquer espanhol aqui."
"In that case , I'm fit for the position I think .","Nesse caso, estou apto para a posição que eu acho."
Did you watch the old-fashioned wrestling game last night ?,Viste o jogo de luta à moda antiga ontem à noite?
"Yes , of course . And I'm amazed the those karate and judo boys were so helpless before the wrestlers .","Sim, claro. E estou surpreso que aqueles rapazes de karatê e judo estivessem tão indefesos diante dos lutadores."
You bet . The wrestlers had got sound defences and they simply couldn't make it .,Pode apostar. Os lutadores tinham defesas sólidas e simplesmente não conseguiram.
"Do you mind if I get a lift in your car , please ?","Importas-te se eu pegar uma boleia no teu carro, por favor?"
"I don ' t see any problem , only the car is a bit old .","Não vejo nenhum problema, só que o carro é um pouco velho."
Oh you ' re so kind !,"Oh, você é tão gentil!"
Get in .,Entra.
"Fred , can you tell me how I can open my QQ Zone ?","Fred, podes dizer-me como posso abrir a minha zona QQ?"
Click your right key of mouse and choose QQ Zone .,Clique na tecla direita do mouse e escolha QQ Zone.
"Well , I have to provide some of my information , right ?","Bem, eu tenho que fornecer algumas das minhas informações, certo?"
"Yep ! The nick name for your zone , address , gender and so on . Some of them are privacy , so you have the right to keep secret here .","Sim! O apelido para a sua zona, endereço, gênero e assim por diante. Alguns deles são privacidade, por isso você tem o direito de manter segredo aqui."
All information is filled in and now I can design my zone .,Todas as informações estão preenchidas e agora posso projetar a minha zona.
"You can choose one type to make it as your background , and then find a music player and put your favorite songs into it , so your visitors can enjoy the music after entering into your zone .","Você pode escolher um tipo para fazê-lo como seu fundo, e, em seguida, encontrar um player de música e colocar suas músicas favoritas nela, para que seus visitantes podem desfrutar da música depois de entrar em sua zona."
"Now everything is OK . I can write my blog , right ?","Agora está tudo bem. Posso escrever meu blog, certo?"
Certainly .,Certamente.
"( Half an hour , Janice begins shouting excitedly . ) What's the matter with you ?","( Meia hora, Janice começa a gritar animada. Qual é o teu problema?"
Look ! David gives his following-comment on my first blog . He is my first visitor .,Olha! David dá seu comentário seguinte no meu primeiro blog. Ele é o meu primeiro visitante.
"Do you remember Tina , my good friend ?","Lembras-te da Tina, minha boa amiga?"
Yes .,Sim.
She just broke up with her boyfriend .,Acabou de terminar com o namorado.
"Well , that happens . I hope she is all right .","Bem, isso acontece. Espero que ela esteja bem."
But the problem is she and her ex-boyfriend are working in the same department . It is somehow embarrassing for them to see each other everyday .,Mas o problema é que ela e o ex-namorado estão a trabalhar no mesmo departamento. É de alguma forma embaraçoso para eles verem-se todos os dias.
That is the down side of an office romance . I hope their work is not affected by the emotional stress . The boss must be very annoyed if that will be the case .,Esse é o lado negativo de um romance de escritório. Espero que seu trabalho não seja afetado pelo estresse emocional. O chefe deve estar muito irritado se esse for o caso.
"Well , Tina says she would be able to handle it and concentrate on her own work , easier set them done . But working harder and concentrating only on the job might well helped to overcome the initial stress of the breakup .","Bem, Tina diz que ela seria capaz de lidar com isso e concentrar-se no seu próprio trabalho, mais fácil set-los feito. Mas trabalhar mais duro e concentrar-se apenas no trabalho poderia bem ajudar a superar o stress inicial da separação."
"Hi Bill , I saw your grandma yesterday .","Olá Bill, vi a tua avó ontem."
Oh where was that ?,"Oh, onde foi isso?"
I was running around the track at my college and there she was walking around the same track .,Estava a correr pela pista na minha faculdade e lá ela andava pela mesma pista.
Grannie always tries to stay fit and healthy . She is always making us kids eat the proper foods .,A vovó sempre tenta manter-se em forma e saudável. Ela está sempre fazendo com que as crianças comam as comidas adequadas.
"Well , it pays off for her . How old is she anyway ?","Bem, vale a pena para ela. Quantos anos ela tem?"
She will be 86 next month .,Ela terá 86 anos no próximo mês.
That is truly amazing !,Isso é realmente incrível!
What time shall I pick you up ?,A que horas venho buscar-te?
How about 6:30 ?,Que tal às 6:30?
That'll be fine . See you soon .,Vai ficar tudo bem. Até logo.
"Hi , Zhengjun , what make you so happy .","Olá, Zhengjun, o que te faz tão feliz."
"You know what , I've just got a new job with a computer company .","Sabes que mais, acabei de arranjar um novo emprego numa empresa de computadores."
"Oh , congratulations !",Parabéns!
"Hi , Linda . I haven't seen you for ages .","Olá, Linda. Não te vejo há muito tempo."
Yes . I miss you very much .,Sim. Tenho muitas saudades tuas.
So do I .,Eu também.
Have you graduated from college ?,Já se formou na faculdade?
Yes . I graduated last year and got a job in a press .,Sim. Formei-me no ano passado e consegui um emprego na imprensa.
Has the train come yet ?,O comboio já chegou?
"No , I ' Ve been waiting for ages .","Não, estou à espera há muito tempo."
It ' s so unreliable . I ' Ve been late for my meetings all this week .,É tão pouco confiável. Eu 'Ve foi atrasado para as minhas reuniões toda esta semana.
"Yes , me too . I think I ' Ve lost some important clients recently because of this train !","Sim, eu também. Eu acho que'Ve perdeu alguns clientes importantes recentemente por causa deste comboio!"
"Yes , my customers have started to complain too !","Sim, meus clientes começaram a reclamar também!"
Oh look ! Here it comes now !,Olha! Aí vem agora!
I've got some bad news about the bike you lent me .,Tenho más notícias sobre a bicicleta que me emprestaste.
What's that ?,O que é isso?
"I fell on the way to school , and your bike got scratched . I'm really sorry .","Eu caí a caminho da escola, e a tua bicicleta foi riscada. Lamento muito."
"Don't worry about it . It's not new , it already has a few scratches . Did you get hurt ?","Não te preocupes com isso. Não é novo, já tem alguns arranhões. Você se machucou?"
"No , thank you .","Não, obrigado."
That's the most important thing .,Essa é a coisa mais importante.
It's kind of you to say . I feel a little stupid .,É simpático da sua parte dizer. Sinto-me um pouco estúpido.
Forget about it .,Esquece.
"When you lent me the bike , it looked brand new , almost anyway .","Quando você emprestou-me a bicicleta, parecia novidade, quase de qualquer maneira."
"Maybe , but really I have fallen a couple of times and it's been hit once or twice as well .","Talvez, mas realmente caí algumas vezes e foi atingido uma ou duas vezes mais bem."
"I appreciate that , thank you .","Agradeço, obrigado."
Jenny is going to marry another man next month .,A Jenny vai casar com outro homem no mês que vem.
"Yes , I know .","Sim, eu sei."
"But , how can you be so calm . You loved her so much .","Mas, como podes ser tão calmo. Amaste-a tanto."
At least I ' m the one who rates with her . I ' m glad we can still be friends .,"Pelo menos, sou eu quem fica com ela. Ainda bem que ainda podemos ser amigos."
What's your favorite sport ?,Qual é o teu desporto favorito?
"Basketball , I'm a basketball fan .","Basquetebol, sou fã de basquetebol."
"Hello , Jane . What do you do in your spare time ?","Olá, Jane. O que fazes no teu tempo livre?"
"Well , nothing special , reading , watching TV , walking , and so on .","Bem, nada de especial, ler, assistir TV, caminhar, e assim por diante."
"Don't you have any hobbies , like stamp collecting or things like that ?","Você não tem hobbies, como recolher selos ou coisas assim?"
"No , I don't have any hobbies . How about you ?","Não, não tenho hobbies. E tu?"
"I like collecting antiques . It's expensive , but it's a lot of fun .","Gosto de colecionar antiguidades. É caro, mas é muito divertido."
Really ? How many collections do you have ?,A sério? Quantas colecções você tem?
So far I have more than 500 collections .,Até agora tenho mais de 500 coleções.
"Among those collections , which is the most expensive ?","Dentre essas coleções, qual é a mais cara?"
A set of ancient china . It is really invaluable .,Um conjunto de porcelana antiga. É realmente inestimável.
It seems to me that everything is going digital nowadays .,Parece-me que tudo está ficando digital hoje em dia.
"Yes . Speaking of digital wares , I bought a digital camera last week .","Sim. Por falar em produtos digitais, comprei uma câmera digital na semana passada."
Cool ! What brand,Porreiro! Que marca
A Sony . It's only one third the size of my old camera and looks rather smart .,Uma Sony. É apenas um terço do tamanho da minha velha câmera e parece bastante inteligente.
What about the quality ?,E a qualidade?
Superb ! It's a 4 megapixel one and the photos it takes are very vivid and clear .,Fantástico! É um 4 megapixel um e as fotos que ele tira são muito vívidas e claras.
"It's four o'clock already . I hate to leave , but I think I must .","Já são quatro horas. Odeio ir embora, mas acho que devo."
Can you stay a little longer ?,Podes ficar um pouco mais?
"I'm sorry , but I can't .","Desculpa, mas não posso."
Can I see your parents some time tomorrow ?,Posso ver os teus pais amanhã?
"Sorry , they are too busy these days .","Desculpe, eles estão muito ocupados nestes dias."
How about this weekend ?,E este fim-de-semana?
"Yes , I think so .","Sim, acho que sim."
Happy Thanksgiving !,Feliz Dia de Acção de Graças!
"You , too .",Tu também.
Let's have pumpkin pie .,Vamos comer uma tarte de abóbora.
It's my favorite .,É o meu favorito.
Are you going anywhere for your vacation ?,Vais a algum lugar para as tuas férias?
"Yes , we're making plans for a tour .","Sim, estamos a fazer planos para uma excursão."
That'll be lovely . Where are you going ?,Vai ser adorável. Aonde vais?
"Well start out from Long Island this Friday . We've planned a four day drive to Salt Lake City , where we'll join my brother and his family on his fortieth birthday .","Bem, comece de Long Island esta sexta-feira. Planejamos uma viagem de quatro dias para Salt Lake City, onde nos juntaremos ao meu irmão e à família dele no seu 40o aniversário."
"Well , you've got to prepare a lot of food and enough sleeping bags then .","Bem, você tem que preparar muita comida e sacos de dormir suficientes então."
"Oh , we'll spend the nights in hotels and enjoy local food as we pass by . How does it sound , David ?","Oh, vamos passar as noites em hotéis e desfrutar de comida local enquanto passamos. O que te parece, David?"
"It sounds good . You can do a lot of sightseeing , too .","Parece bom. Você pode fazer um monte de passeios turísticos, também."
"Yes , we'll take our time . And we'll go to Five-lake Strict and the Wall Street .","Sim, vamos tirar o nosso tempo. E vamos para Five-lake Strict e Wall Street."
"So , you're going to have a really nice vacation .","Então, você vai ter umas férias muito bonitas."
You can say that again .,Podes dizer isso outra vez.
"Would you like to book a table , sir ?","Quer reservar uma mesa, senhor?"
"Yes , would you arrange it for me the day after tomorrow ?","Sim, arranjavas para mim depois de amanhã?"
"Sure , when ?","Claro, quando?"
Six o'clock in the afternoon .,Seis da tarde.
"For how many guests , please ?","Para quantos hóspedes, por favor?"
Six .,Seis.
How much would you like to spend ?,Quanto você gostaria de gastar?
We don't care about money . We'd like to have some good dishes of local specialties .,Não nos importamos com o dinheiro. Gostaríamos de ter alguns bons pratos de especialidades locais.
OK .,Está bem.
"How many courses are there altogether , please ?","Quantos cursos existem, por favor?"
Eight .,Oito.
Could you tell me some of entrees about the dinner ?,Podes contar-me algumas entradas sobre o jantar?
Sure . The main courses are roast Beijing duck and fried eel slices .,Claro que sim. Os pratos principais são pato assado de Pequim e fatias de enguia frita.
Very good .,Muito bem.
"Did you watch TV last night , Rose ?","Viste televisão ontem à noite, Rose?"
Yeah . I saw a science program . It was quite interesting .,Sim. Vi um programa de ciências. Foi muito interessante.
What was it about ?,O que foi isso?
Mars . Scientists say there might be water on it .,Marte. Os cientistas dizem que pode haver água nele.
"If so , we may live there someday .","Se assim for, talvez vivamos lá algum dia."
I hope so . Did you know the US successfully sent two robotic explorers to Mars last month ?,Espero que sim. Sabias que os EUA enviaram com sucesso dois exploradores robóticos a Marte no mês passado?
"Sure . I heard about this on the TV . On January 3rd , 2004 , Explorer Spirit landed near the so-called Guser Crater . And three weeks later , Spirit's twin explorer , Opportunity , landed on Meridian Planum named by scientists .","Claro que sim. Ouvi falar disto na televisão. Em 3 de janeiro de 2004, Explorer Spirit aterrissou perto do chamado Guser Crater. E três semanas depois, Gêmeo explorador do Espírito, Oportunidade, aterrissou em Meridian Planum nomeado por cientistas."
Yes . Both have sent back pictures of the planet . And the latter did a better job .,Sim. Ambos enviaram de volta fotos do planeta. E este último fez um trabalho melhor.
"How is your job search going , Janet ?","Como vai a tua busca de emprego, Janet?"
I found the ideal position . I ' m working for a plumbing company .,Encontrei a posição ideal. Estou a trabalhar para uma empresa de encanamento.
"Are you serious ? You studied mathematics at college for four years , and now you have a job working with your hands !","Está a falar a sério? Você estudou matemática na faculdade por quatro anos, e agora você tem um trabalho trabalhando com suas mãos!"
"Plumbing work requires mathematics knowledge , and creativity . I love this job .","Trabalho de encanamento requer conhecimento de matemática, e criatividade. Adoro este trabalho."
I can see that . But I didn ' t know you had experience in that line of work .,Estou a ver isso. Mas não sabia que tinha experiência nesse ramo de trabalho.
"I didn ' t , but I applied for an apprenticeship , and since I studied math , AND I have a good attitude , my application was accepted .","Eu não ', mas eu me candidatei para uma aprendizagem, e como eu estudei matemática, E eu tenho uma boa atitude, minha candidatura foi aceite."
Congratulations ! You do have the right attitude .,Parabéns! Você tem a atitude certa.
We are going to the concert this evening . Will you join us ?,Vamos ao concerto esta noite. Juntas-te a nós?
I'm very sorry I can't .,Lamento muito não poder.
Why not ?,Porque não?
I've been snowed under with work since my boss was away on business .,Tenho andado sem trabalho desde que o meu chefe estava fora a negócios.
"Well , if it isn't the teacher's pet !","Bem, se não é o animal de estimação do professor!"
Stop it . Teacher doesn't treat me any different than she does everyone else .,Pára com isso. A professora não me trata diferente de toda a gente.
You can't prove that by me . I saw the score on your report .,Não podes provar isso por mim. Eu vi a pontuação no seu relatório.
"Hey , I worked hard on that report and I deserve the grade I got .","Ei, eu trabalhei duro naquele relatório e mereço a nota que tenho."
It just happened to be the highest grade in the class .,Aconteceu de ser o grau mais alto da classe.
You're just jealous because you didn't do as well as you thought you did . Admit it .,Estás com ciúmes porque não foste tão bem como pensaste. Admita-o.
I worked hard too . But she always gives me a lower grade .,Eu também trabalhei duro. Mas ela sempre me dá uma nota mais baixa.
If you think that she is not fair with your work then you should talk to her in person instead of stewing over it .,"Se você acha que ela não é justo com o seu trabalho, então você deve falar com ela pessoalmente em vez de cozinhá-lo."
You won one million yuan in a lottery . What will you say ?,Ganhou um milhão de yuan numa loteria. O que vai dizer?
I don't know . I'm too excited to say a word .,Não sei. Estou muito animada para dizer uma palavra.
"I understand . It's too good to be true , isn't it ?","Eu compreendo. É bom demais para ser verdade, não é?"
"Yes , too good to be true .","Sim, muito bom para ser verdade."
I was supposed to meet with you at half past one .,Era suposto encontrar-me contigo à 1h30.
"Yes , I see . What did you need to see me about ?","Sim, estou a ver. Sobre o que precisavas de me ver?"
There's a problem with my schedule .,Há um problema com a minha agenda.
What's the problem ?,Qual é o problema?
Two of my classes occur at the same time .,Duas das minhas aulas ocorrem ao mesmo tempo.
"Well , I can see that's a problem .","Bem, vejo que isso é um problema."
Is it at all possible for you to fix that error ?,Será possível corrigir esse erro?
"Yes , I can . Would you still like to have both of these classes ?","Sim, eu posso. Ainda gostarias de ter estas duas aulas?"
"I want to keep both of them , if that's possible .","Eu quero manter os dois, se isso é possível."
"Well , let me find you one of these classes on a different day .","Bem, deixa-me encontrar-te uma destas aulas num dia diferente."
Thanks a lot .,Muito obrigado.
I went bungee jumping yesterday .,Eu fui bungee saltar ontem.
That sounds like fun .,Isso parece divertido.
"Hello , Tom , are you free next Sunday ?","Olá, Tom, está livre no próximo domingo?"
I think so . Why did you ask that ?,Acho que sim. Porque perguntaste isso?
"I'm going to have my first baby , so I plan to hold a baby shower next Sunday .","Vou ter o meu primeiro bebê, então planejo fazer um chuveiro de bebê no próximo domingo."
Congratulations ! Why do people hold parties before the baby is born ?,Parabéns! Porque é que as pessoas fazem festas antes do bebé nascer?
It's the tradition . But baby showers as we know them today were not common until after World Warri .,É a tradição. Mas chuveiros de bebê como os conhecemos hoje não eram comuns até depois da Guerra Mundial.
"In any case , I like baby showers , because they allow friends and family to share the joy and excitement of welcoming a new life into the world .","De qualquer modo, eu gosto de chuveiros de bebê, porque eles permitem aos amigos e à família compartilhar a alegria e a emoção de acolher uma nova vida no mundo."
"So you will come , won't you ?","Então você virá, não virá?"
Of course . I will prepare a good gift for the new arrival .,Claro que sim. Vou preparar um bom presente para a nova chegada.
Thank you very much .,Muito obrigado.
What are you doing ?,O que estás a fazer?
What am I doing ? What am I doing ? Don ' t you know what day it is ?,O que estou a fazer? O que estou a fazer? Não sabes que dia é hoje?
Mumm . no .,Mãe. Não.
It ' s only the day when the world ' s biggest sporting event is kicking off .,É apenas o dia em que o maior evento esportivo do mundo está começando.
What ?,Porquê?
"The World Cup ! The first match is today ! It ' s Mexico vs . South Africa ! It ' s going to be a really good match ! Both teams have a very strong offense and have skilled players . I think that South Africa will probably dominate the first half since they are the host country , and all .","A Copa do Mundo! A primeira partida é hoje! É o México vs. África do Sul! Vai ser uma boa combinação! Ambas as equipes têm uma ofensa muito forte e têm jogadores habilidosos. Penso que a África do Sul provavelmente dominará o primeiro semestre, uma vez que são o país de acolhimento, e tudo."
I have no idea what you ' re talking about . The only sporting event we watch at home is the Super Bowl .,Não faço ideia do que estás a falar. O único evento esportivo que assistimos em casa é o Super Bowl.
"This is bigger than the Super Bowl , man ! Teams from 32 countries compete against each other every four years and fight to win that trophy . They first start in a group stage with bigger groups , each group having 4 teams . The top 2 teams pass on to an elimination stage before going on to the quarter final sand semifinals .","Isto é maior do que o Super Bowl, meu! Equipes de 32 países competim uns contra os outros a cada quatro anos e lutam para ganhar esse troféu. Eles começam primeiro em uma fase de grupo com grupos maiores, cada grupo tendo 4 equipes. As 2 melhores equipas passam para um estágio de eliminação antes de passar para as semifinais de areia trimestral."
"Sounds interesting , but soccer doesn ' t really appeal to me .","Parece interessante, mas o futebol não me agrada."
"Are you kidding ? Over seven hundred million people watched the final match of the World Cup ! It ' s a very exciting and nerve wracking sport ! Each nation is cheering on their team , hoping they will become the next champion . So far Brazil is the team with the most titles under their belt ; they ' re really good !","Está a brincar? Mais de setecentos milhões de pessoas assistiram ao jogo final da Copa do Mundo! É um desporto muito excitante e nervoso! Cada nação está aplaudindo a sua equipe, esperando que eles se tornem o próximo campeão. Até agora o Brasil é a equipe com mais títulos sob seu cinto ; eles're realmente bom!"
"All I know about soccer is that you can ' t use your hands and that players are always falling down , trying to get a free kick or penalty kick . It seems like a sissy sport to me !","Tudo o que sei sobre futebol é que você não pode'usar suas mãos e que os jogadores estão sempre caindo para baixo, tentando obter um chute livre ou chute penal. Parece-me um esporte de maricas!"
"Whatever dude , I ' m going to go watch the opening match .","Seja lá o que for, vou ver o jogo de abertura."
We have absolute proof that you committed the crime .,Temos provas absolutas de que cometeu o crime.
That's absolutely ridiculous !,Isso é absolutamente ridículo!
"Where can I get the information , Kate ?","Onde posso obter a informação, Kate?"
Ask John . He is sure to know about it .,Pergunta ao John. Ele tem a certeza de saber sobre isso.
Why ?,Porquê?
He has a finger in the pie .,Ele tem um dedo na torta.
That was a tough question . How did you get it right ?,Foi uma pergunta difícil. Como conseguiste acertar as coisas?
I just took a shot in the dark .,Acabei de dar um tiro no escuro.
There ' s a letter here for you .,Há uma carta para ti.
Let me see it .,Deixa-me ver.
What ' s the letter about ?,Sobre o que é a carta?
It ' s a letter from NYU .,É uma carta da NYU.
Tell me what it says !,Diz-me o que diz!
I didn ' t get in .,Eu não entrei.
You ' re lying .,Estás a mentir.
I ' m not lying .,Não estou a mentir.
Are you upset ?,Está chateado?
I had high hopes for NYU .,Tinha grandes esperanças para a NYU.
I ' m sorry you didn ' t get accepted .,Lamento que não tenhas sido aceite.
"Hopefully , I ' ll get accepted to UCLA .",Espero que seja aceite na UCLA.
The final examination will be held at the end of this month . Have you made good preparation ?,O exame final será realizado no final deste mês. Fizeste uma boa preparação?
Sure . I've reviewed all the lessons I have learned this academic year .,Claro que sim. Revi todas as lições que aprendi neste ano letivo.
Are you sure you can do well this year ?,Tens a certeza que podes fazer bem este ano?
I am 100 % certain .,Tenho 100% de certeza.
"According to what you did last time , I have my doubts .","De acordo com o que fizeste da última vez, tenho minhas dúvidas."
I am sure I can get a 95 this time .,Tenho a certeza que posso obter um 95 desta vez.
What ? How could you forget to reserve the concert tickets ?,Porquê? Como podes esquecer-te de reservar os bilhetes para o concerto?
I'm sorry . I forget all about it .,Desculpe. Esqueço-me de tudo.
How could you ? I reminded you just this morning .,Como pôde? Lembrei-te esta manhã.
It's leap my mind . I really feel terrible about it .,Está a saltar-me a cabeça. Sinto-me muito mal por isso.
I have been looking forward to this performance all month .,Eu estive ansioso para este desempenho o mês todo.
I'm really sorry I let you down . I'll make it up to you somehow .,Lamento muito ter-te decepcionado. Vou compensar-te de alguma forma.
Did you hear what happened to Mike last night ?,Ouviste o que aconteceu ao Mike ontem à noite?
"No , what ?","Não, o quê?"
"Well , apparently he had too much to drink and got into some kind of trouble . Typical , isn't it ?","Bem, aparentemente ele bebeu demais e meteu-se em algum tipo de sarilhos. Típico, não é?"
"Oh , no . What kind of trouble ?",Não. Que tipo de sarilhos?
"Well , I don't know the details , but ...","Bem, eu não sei os detalhes, mas..."
Did you hear ? The state is thinking of legalizing gambling in our city ! Soon we are gonna have amazing hotels and casinos here which will be good for our business !,Ouviste? O estado está pensando em legalizar o jogo na nossa cidade! Em breve teremos hotéis e casinos fantásticos aqui que serão bons para o nosso negócio!
Are you serious ? Gambling is a vice industry built on deception and fed by the intentional exploitation of human weakness for the sole purpose of monetary gain ! It disgusts me .,Está a falar a sério? O jogo é uma indústria de vícios construída sobre o engano e alimentada pela exploração intencional da fraqueza humana para o único propósito de ganho monetário! Isso dá-me nojo.
What are you talking about ? How does it exploit people ?,Do que está a falar? Como é que isso explora as pessoas?
"Well , to begin with , Gambling is addictive , ruins marriages , destroys families and bankrupts communities . Once you are addicted it is very difficult to stop . People have lost their houses , cars and been left out on the street after becoming addicted . Secondly , it exploits because men become addicted to gambling most often because of the action and risk . Women gamble to escape , and senior citizens will start gambling for the social interaction . Underage gamblers often start gambling on sports with friends and then illegal bookies .","Bem, para começar com, O jogo é viciante, ruínas casamentos, destruir famílias e falências comunidades. Uma vez que você é viciado é muito difícil parar. As pessoas perderam suas casas, carros e foram deixadas na rua depois de se tornar viciadas. Em segundo lugar, explora-se porque os homens se tornam mais viciados no jogo, devido à acção e ao risco. As mulheres jogam para escapar, e os idosos começarão a jogar para a interação social. Jogadores menores de idade muitas vezes começam a jogar em esportes com amigos e, em seguida, apostadores ilegais."
"Geez ! Now that I think about it , maybe legalizing gambling isn ' t such a good idea ! Although , I have been to Las Vegas , and I didn ' t become addicted or anything like that .","Meu Deus! Agora que penso nisso, talvez legalizar o jogo não seja uma boa ideia! Embora, eu tenha estado em Las Vegas, e eu não me tornei viciado ou algo assim."
"You cannot predict who will become addicted to gambling . Now excuse me , I have a protest rally to organize !","Você não pode prever quem vai se tornar viciado no jogo. Agora, desculpe-me, tenho uma manifestação de protesto para organizar!"
I'm tired of you always wearing my clothing !,Estou farto que uses sempre as minhas roupas!
Aren't you the pot calling the kettle black ? You're wearing my pants right now !,Não estás a chamar a chaleira de preto? Estás a usar as minhas calças agora!
I ' m sure it will be wet when we arrive .,Tenho a certeza que estará molhado quando chegarmos.
Yes . I dare say it will be .,Sim. Atrevo-me a dizer que será.
It will be Sunday so I expected everything will be closed .,"Será domingo, então eu esperava que tudo fosse fechado."
No . I don ' t think that ' s possible . Some places are sure to be open .,Não. Acho que isso não é possível. Alguns lugares estão certos de estar abertos.
But the bank should be closed so we shouldn't to be able to get any money .,Mas o banco deve ser fechado para que não sejamos capazes de obter qualquer dinheiro.
"Mmm , you may be right .",Talvez tenhas razão.
Do you think we ' ll need our overcoats ?,Achas que vamos precisar dos nossos casacos?
No . We couldn ' t possibly .,Não. Não poderíamos.
Why not ?,Porque não?
It will be summer . So it will be hot .,Será verão. Então vai ser quente.
Is that very likely in England ?,Isso é muito provável em Inglaterra?
Yes . It could happen .,Sim. Pode acontecer.
Let's do something really nice for our family this Christmas .,Vamos fazer algo muito bom para a nossa família neste Natal.
What did you have in mind ?,O que tinhas em mente?
I don't know yet .,Ainda não sei.
I just know I want to get out of the mindless gift trap .,Só sei que quero sair da armadilha de presentes.
I know what you mean .,Eu sei o que queres dizer.
I want to give a gift that is really meaningful .,Eu quero dar um presente que é realmente significativo.
Or do something that shows we have spent time thinking about them .,Ou fazer algo que mostre que passamos tempo pensando neles.
Or what only we are able to give them .,Ou o que só nós somos capazes de lhes dar.
Uh ... that's Greek to me .,per me è greco.
That means they have tapered legs .,Isso significa que eles têm pernas cónicas.
"Well , mine are baggy . They're the kind of pants you can lounge around in .","Bem, os meus estão cheios de sacos. São o tipo de calças em que se pode relaxar."
"Mine are , too .",Os meus também.
So maybe we shouldn't go out after all .,Talvez não devêssemos sair depois de tudo.
Yeah . Let's just lounge around !,Sim. Vamos relaxar por aí!
Thanks . Sometimes talking with a friend is a great way to get over something . Do you mind if I vent a little bit ?,Obrigado. Às vezes conversar com um amigo é uma ótima maneira de superar algo. Importas-te que desapareça um pouco?
"Of course not . If you're feeling bad and want to let your emotions out , you can just say whatever you want to me .","Claro que não. Se você está se sentindo mal e quer deixar suas emoções sair, você pode apenas dizer o que quiser para mim."
"Great , because I am really mad at William . I mean , what kind of an idiot wouldn't be able to appreciate a smart , beautiful woman like me ? Anybody who would be friends with that guy has to be really dumb .","Óptimo, porque estou zangado com o William. Quero dizer, que tipo de idiota não seria capaz de apreciar uma mulher inteligente e bonita como eu? Qualquer um que fosse amigo daquele tipo tem de ser muito estúpido."
"Uh , A ... you know I'm friends with William .",Tu sai che sono amica de William.
"Oh right ... present company excluded , of course !","presente azienda esclusa, naturalmente!"
